sentence_id,Personne,sentence
1070205,Personne à protéger,"Or, le Comité estime pr écisément que la catégorie de 
« prévention » est inappropriée lorsqu’elle vise à engager une personne testée à 
informer sa parentèle des risques encourus par un e nfant non encore né.23  Dans tous les 
cas de figure, selon le CCNE, l’expression « préven ir une naissance » (à laquelle l’actuel 
Code de la santé publique aboutit à donner crédit) semble excessivement paradoxale."
180058,Personne responsable et autonome,"De fondation, en vertu même des principes qui ont inspiré sa composition, le Comité réunit
des personnes d'opinions, de croyances, de sensibilités, d'expériences les plus diverses."
1301177,Personne responsable et autonome,"Comment respecter le droit 
de la personne de ne pas savoir ?"
250011,Corps humain,"Au niveau individuel
Le génome d'un individu, parce qu'il relève de son être plutôt que de son avoir, ne peut pas
être l'objet de commerce, tout comme les autres composants physiques de sa personne."
70016,Sentiment humain,"Ce sont des êtres humains, qui ont d'autant
plus droit au respect dû à la personne humaine qu'ils se trouvent en état de grande fragilité."
820127,Sentiment humain,"De plus, le visage est toujours le visage de tel ou tel être humain."
1030268,Personne à protéger,Il serait fâcheux de laisser au seul marché le soin de juger de l'intérêt d'un progrès technologique sans s'informer auprès des personne s ellesmêmes ou des associations de la complexité de ces situations.
1300437,Personne responsable et autonome,"• Le règlement ne s’applique pas aux traitements de d onnées à caractère personnel effectués par une personne physique au cours  d'activités strictement 
personnelles ou domestiques et donc sans lien avec une activité professionnelle ou commerciale 51 ."
1390312,Personne responsable et autonome,"Il convient de souligner aujourd’hui les points qui avaient guidé l’avis n° 121  : 
 Dans la suite de l’avis n° 121, nous rappelons que l’assistance au suicide consiste à  « donner les moyens à une personne de se suicider elle -même  », 
tandis que l’euthanasie est « un acte destiné à mettre délibérément fin à la vie 
d’une personne atteinte d’une maladie grave et incurable, à sa demande, afin de 
faire cesser une situation qu’elle juge insupportable  »."
1430644,Personne responsable et autonome,"Le consentement doit être 
libre (la personne doit pouvoir donner son accord sans contrainte), spécifique  (une ou 
plusieurs finalités doivent être indiquées, et le consentement doit être donné séparément 
pour  chaque finalité), éclairé  (la personne comprend le traitement qui sera fait de ses 
données et des garanties doivent être données que la personne est consciente des 
implications de son consentement) et non ambigu  (la personne doit avoir explicitement 
donné  son consentement et le responsable de traitement doit pouvoir le prouver)."
270109,Corps humain,Toute recherche dans le cadre du Génome humain doit avoir accès à des bases de données.
1400475,Personne relationnelle,"Cela implique, en aval, du temps et de la disponibilité humaine pour accompagner les personnes, comprendre la complexité des situations et tenter de prendre des décisio ns le plus possible avec elles."
1230390,Poubelle,"Enfin, le fait de ne pas prendre en compte la personne, en tant que telle, mais 
uniquement le groupe auquel elle est rattachée, rend, au demeurant, plus difficile 
                                                        
73 Ce risque est plus élevé, en moyenne, lorsqu'il s'agit d'une relation entre hommes que lorsqu'il s'agit 
d'une relation h étérosexuelle, compte tenu d'une prévalence beaucoup plus importante de l’infection 
par le VIH chez des hommes ayant des relations sexuelles non protégées avec des hommes, dans le 
cadre de multi -partenariats."
1301124,Personne à protéger,"Mais une telle diffusion des données g énomiques induit une crainte que le 
respect des droits fondamentaux de la personne soit  mis en danger."
1360573,Personne à protéger,"A quoi peut ressembler le respect des volontés de la personne malade lorsqu’il semble impossible 
de les deviner au présent  ?"
930062,Corps humain,"Les éléme nts ou produits du corps humain, 
détachés au terme d’une intervention médicale, sont  l’objet d’un don gratuit et volontaire."
580190,Personne à protéger,"Les mêmes
arguments (respect de la dignité humaine, désir de ne pas nuire à autrui) sont utilisés pour
prouver qu'il faut informer, ou qu'il ne faut pas informer."
750175,Corps humain,"La 
fécondation d’un ovocyte avec d es spermatocytes ou des spermatides immatures 
s’apparente à de l’expérimentation humaine."
1431052,Personne à protéger,"Dans le 
second  cas, la procédure nécessite davantage de points de vigilance afin que la publication 
de la recherche ne puisse pas permettre d’identifier directement ou indirectement les 
personnes concernées."
1280381,Personne relationnelle,"Des 
problèmes  en découlent  : 1) les soins  à domicile  coûtent  cher à la famille  ; 2) les soignants  
sont sidérés  par les conditions  de vie des personnes  en  grande  précarité,  ils ont tendance  à 
ne voir que la grande  précarité,  pas la personne  ; 3) il ressort  de ces constats  un besoin  
de formation  du personnel  soignant  à la grande  préca rité  et une nécessité  de soutien  
financier."
1400557,Individu ou sujet,"Mais, si elle veut atteindre son objectif — faire des 
individus des acteurs de leur santé et de la santé «  collective  » — elle doit être conçue 
de manière plurielle et transdisci plinaire : prévention certes, mais aussi information 
sur les droits des individus, sur les structures qui existent, sur les différents acteurs de 
la santé, sur les coûts et les enjeux individuels comme  collectifs du système de santé »97."
1380540,Corps humain,"Si l’un des allèles 
comporte une mutation dite récessive, alors l’individu est considéré comme porteur 
sain d’une maladie récessive."
1290339,Corps humain,"La noncommercialité du corps humain et de ses éléments et son corollaire, la 
gratuité du don 73, constituent aussi un principe majeur, assujetti toutefois à 
certaines tensions."
1281430,Individu ou sujet,"La vieillesse est appréhendée pour la première 
fois comme un problème de société, et non plus comme une simple destinée de l’individu."
140124,Personne responsable et autonome,"Ceci implique:
- la connaissance des personnes infectées pouvant transmettre la maladie ;
- les dispositions pouvant éviter la transmission de l'infection."
1300457,Individu ou sujet,"2.2.1 Une valeur confrontée à une situation nouvell e : la solidarité nationale face à 
l’individualisation du risque médical  
 
De même qu’une ambivalence intrinsèque du numérique  fait qu’une intervention trop 
rigoureuse destinée à en prévenir les aspects négat ifs risque d’en entraver le potentiel 
positif, de même l’exploitation des données massive s dans le domaine de la santé révèle un conflit de valeurs et d’intérêt entre les bénéfices pouvant être espérés par 
l’individu et ceux qui pourraient résulter, pour la  collectivité, d’une approche intrusive 
visant à favoriser une meilleure rationalité économ ique."
430507,Genre/espèce humaine,"Un fait humain universel, un tragique fait de société
aujourd'hui
Chacun a l'expérience d'au moins une substance active sur le système nerveux central (par
exemple, l'alcool : rares sont les Français qui n'ont jamais goûté à un verre de vin)."
20571,Genre/espèce humaine,"La Déclaration révisée comporte un certain nombre
de dispositions nouvelles et importantes, à savoir que le protocole de l'expérimentation
portant sur l'être humain devra "" être soumis à un comité indépendant désigné
spécialement à cet effet, pour avis et conseils "" (article 1, 2); que ce protocole devra
""toujours contenir une déclaration sur les considérations éthiques impliquées dans cette
recherche et devra indiquer que les principes énoncés dans la présente déclaration sont
respectés "" (article l, 12); et que des rapports sur "" une expérimentation non conforme aux
principes énoncés dans cette déclaration ne devront pas être publiés "" (article 1, 8)."
80464,Corps humain,"Annexe 1 : Le développement de l'embryon humain
C'est dans les premières heures après heures après l'ovulation que s'effectue la fécondation,
c'està-dire la rencontre de l'ovule et du spermatozoïde."
1340168,Individu ou sujet,"Cette préoccupation essentielle de préserver l’ano nymat pour des données personnelles sensibles, fait qu’une meilleure connaissance des candidats à l’adoption pourrait procéder d’une unification et d’un renforcement des potentialités statistiques offertes par les applications informatiques existantes, pou r permettre de réaliser des 
requêtes anonymisées sur les dossiers des personnes à partir d’items relatifs à l’état 
civil."
140120,Personne responsable et autonome,"Sur le plan éthique, les problèmes posés sont, comme sur le plan juridique, commandés par
l'équilibre à réaliser entre les contraintes imposées aux individus et les garanties des
libertés."
870043,Personne à protéger,"Il s’agit d’un véritable pacte qui trouve sa justification éthique 
dans la priorité accordée à l’intérêt de cette personne."
1330004,Corps humain,"Ces capacités  
inédites  des biotechnologies  peuvent  être perçues  comme  une voie prometteuse  pour  
mieux  comprendre  le rôle des gènes, la signification  des variations  observées  entre  
individus,  notamment  en regard  de leur état de santé  et, plus généralement,  de nouvelles  
possibilités  pour  réparer  le génome  (dans  le cas de l’homme)  ou pour  une domestication  
mieux  adaptée  aux besoins  de l’humanité  (dans  le cas des plantes  et des animaux)."
1300118,Personne à protéger,"130  
 13  être à cet égard une garantie suffisante pour la pr otection des droits de la personne 9 ; 
apparaissent dès lors sous un jour nouveau les enje ux éthiques de cette protection, 
mais aussi l’enjeu de la solidarité."
1360637,Personne relationnelle,"En l’absence de désignation d’une personne de 
confiance, il ne prend de décision que si l’intéressé n’est plus du tout en capacité 
de le faire."
1360406,Personne à protéger,"2  relative au régime des décisions prises en matière de santé de prise en  charge ou 
d’accompagnement social ou médico -social à l’égard des personnes majeures fai sant l’objet d’une mesure de 
protection juridique."
710208,Genre/espèce humaine,"Au fur et à mesure du développement humain, les avancées scientifiques conduisent
souvent à faire émerger dans le champ de la réflexion des considérations légales ou
politiques, voire morales."
930695,Corps humain,"L’article 6 de la directive 98/44 prévoit un certai n nombre d’exclusions de la 
brevetabilité pour des raisons tenant à l’ordre pub lic et aux bonnes mœurs, il précise 
notamment que l’utilisation d’embryons à des fins i ndustrielles ou commerciales n’est pas 
brevetable, Mais le Considérant 42 ajoute que l’exc lusion visée ne concerne pas les inventions 
relatives à l’embryon humain  ayant un objectif thé rapeutique ou de diagnostic."
1250314,Genre/espèce humaine,"Sans mettre en cause l’importance des mesures 
de protection des espèces menacées ou en péril, il convient au plan éthique de prendre en 
compte que 15% de la population mondiale ont une ac tivité en relation avec l’usage de ces 
espèces animales sauvages et que, dans certaines ré gions, les populations les plus fragiles, soit 
un milliard d’êtres humains, sont directement dépen dantes, pour leur survie alimentaire, de 
l’exploitation d’espèces sauvages."
140037,Personne responsable et autonome,"Il
est souhaitable qu'il résulte d'une motivation spontanée de la personne : le consentement
au dépistage est le premier signe de la responsabilisation de la personne dépistée."
590024,Individu ou sujet,"La fraction de la population de 80 ans et plus va augmenter de 13 à 137 millions de
personnes en 2025."
1240236,Corps humain,"L’avancée technique majeure de ces 
dernières années réside dans la possibilité d’analyser en même temps la séquence de millions de fra gments ( massive parallel sequencing ) appartenant au génome de plusieu rs individus (chaque indivdu r econnu par un code barre spécifique), ce qui réduit considérablement le temps (et le coût) du séquençage."
940686,Personne à protéger,"- Les mourants, les grands vieillards, les personnes lourdement handicapées qui 
ne devraient pas ou plus vivre dans l’univers carcé ral y demeurent."
430411,Individu ou sujet,"Cette mesure qui porte atteinte au principe
énoncé par la Déclaration des droits de l'homme, selon lequel "" la liberté consiste à pouvoir
faire tout ce qui ne nuit pas à autrui"" a été justifiée au moment du vote de la loi, comme
étant une contrepartie normale que peut imposer la société à une époque où le droit à la
santé et aux soins est reconnu à l'individu, en particulier par la généralisation de la sécurité
sociale."
1250445,Genre/espèce humaine,"Des définitions de la biodiversité où la place des 
êtres humains et de l’humanité varie."
1240040,Personne à protéger,"Le CCNE propose une 
réflexion d’amont sur les conditions pour qu’un système de régulation soit efficace et respe ctueux des personnes."
1280604,Personne à protéger,"Un e personne «  âgée » qui 
consomme des benzodiazépines à demi -vie longue et qui, de ce fait voit sa pression artérielle 
baisser rapidement lorsqu’elle se met debout (hypotension orthostatique) est vulnérable parce 
que ces deux éléments accroissent le risque de chute avec fracture et donc la probabilité d’une 
limitation durable, dans le futur, de ses capacités fonctionnelles (ce qui deviendrait un 
handicap)."
140535,Individu ou sujet,"Deux fois plus de séropositifs ont été détectés pendant les 31 mois qui ont suivi l'instauration du dépistage
anonyme et ces personnes à risque semblent ainsi avoir bénéficié plus tôt des informations
et conseils de la consultation préalable au test grâce à l'anonymat."
1210158,Personne relationnelle,"C’est un fait que l ’expérience concrète d ’une proportion importante de personnes en fin  de 
vie et de leurs proches reflète un vécu très négatif de l ’accompagnement  par les 
professionnels de santé ."
1440523,Poubelle,"Si ce n’est pas 
le cas, alors tout professionnel de santé vacciné (ou non) qui serait infecté, 
même s’il est peu symptomatique, voire asymptomatique, devra se confiner 
afin de ne contaminer personne ."
380138,Personne responsable et autonome,"Les données
identifiantes concernant des personnes qui refusent de consentir à l'utilisation qu'on veut en
faire seront détruites ou restituées aux intéressés."
1291444,Individu ou sujet,"Le CCNE s’inquiète 
particulièrement de l’augmentation du nombre de GPA qui sont, en réalité, des 
productions d’enfants à des fins d’adoption entre personnes privé es, censées 
pallier la raréfaction du nombre d’enfants adoptables, tant sur le territoire national 
que dans les pays étrangers."
1260997,Personne à protéger,"Son objectif essentiel est de 
faciliter l’accès aux origines personnelles des 
personnes pupilles de l’État ou adoptées qui ne 
connaiss ent pas leurs origines, et de permettre 
aux parents de naissance qui, ayant demandé le 
secret de leur identité, souhaitent lever ce 
secret ou déclarer leur identité."
30077,Genre/espèce humaine,"Document de travail sur les problèmes éthiques posés par le
recours aux "" mères de substitution ""
Par le fait de développements récents de la science et des techniques, un champ nouveau
s'est ouvert à l'intervention de l'être humain sur son environnement."
160013,Corps humain,"La région du système nerveux central d'embryons humains, utilisée pour ces
transplantations, ne contient que très peu de cellules dopaminergiques."
1260473,Corps humain,"Le risque de marchandi sation concerne, certes, les ressources biologiques d’origine humaine en tant 
que telles, mais, au -delà, toute la biomédecine, qui nécessite l’usage et la circulation de telles 
ressources, plus ou moins industrialisées, dans un contexte où la vie du demand eur est plus ou moins 
menacée  : sang, moelle osseuse, organes 46."
1300985,Individu ou sujet,"IIl est interdit de traiter des données traiter de s données à caractère personnel qui révèlent la pré tendue origine 
raciale ou l'origine ethnique, les opinions politiq ues, les convictions religieuses ou philosophiques ou l'appartenance syndicale d'une personne physique ou de trait er des données génétiques, des données biométriques  aux 
fins d'identifier une personne physique de manière unique, des données concernant la santé ou des donn ées concernant la vie sexuelle ou l'orientation sexuelle d 'une personne physique."
500384,Personne responsable et autonome,"Cela conduirait à confondre ce qui relève de la justification thérapeutique avec ce
qui relève de considérations personnelles et de la volonté de la personne concernée."
1270054,Personne à protéger,"Au cas où lui survient 
une affection pathologique physique ou mentale, ell e doit aussi pouvoir librement accéder 
au système d'offre de soins à égalité avec toute au tre personne séjournant sur le territoire 
français."
1360663,Personne responsable et autonome,"Si, par sa volonté de refuser 
ou d'interrompre tout traitement, la personne met sa vie en danger, elle doit réitérer 
sa décision dans un délai raisonnab le."
1420043,Personne relationnelle,"Soumises  à des rythmes et à des contextes de travail très exigeants, les institutions soignantes peuvent su sciter vis -àvis des patient(e)s l’exigence 
de mettre à disposition un corps, alors qu’il convient d’inviter les patient(e)s à confier 
ce qu’ils (elles) ont de plus précieux – leur corps, inséparable de leur psychisme – à 
une personne qui l’accueille, le r especte, puis en prend soin."
1210559,Personne responsable et autonome,"Il se trouve que la loi française n ’effectue aucune distinction 
entre deux catégories de personnes qui n ’interviennent pas directement pour administrer la 
substance mortelle, c ’està-dire entre celle qui fournit une aide et celle qui  se contenterait 
d’être là."
1280070,Personne à protéger,"Plus ou moins associées à l'expression de 
diverses maladies chroniques ou récidivantes, elles condu isent la personne âgée à 
l'invalidité et à la dépendance ."
640017,Genre/espèce humaine,"Sur le plan particulier des brevets, sa régulation est confiée aux autorités qui
ont assumé cette mission au nom d'un droit sophistiqué, élaboré à une époque où le
génie génétique n'existait pas et où les inventions ne concernaient pas le vivant
en particulier le corps humain et ses éléments  ."
1280673,Poubelle,"senioractu.com/Services -ala-personne -etatdes-lieux -del-Observatoire -Caisse -dEpargne -
2006_a 5535.html  
56 Les services à la personne en Europe."
280185,Corps humain,"Notre Comité a encore récemment, dans la présentation des premiers travaux du Groupe
""Ethique et argent"", rappelé notre attachement à ce principe : ""Dire que le corps humain est
hors commerce ou encore hors marché c'est formuler deux propositions complémentaires ;
d'une part le corps de l'homme, ou l'un de ses éléments ne peuvent être l'objet d'un
contrat, d'autre part il ne peut être négocié par quiconque""."
1220603,Genre/espèce humaine,"Dépasser ses limites est un 
« projet immémorial de l’être humain  » (Baetschi, 2009)92."
1190211,Personne responsable et autonome,"Le souhait 
exprimé par certains,  et perçu dans les enquêtes d’opinion, de pouvoir disposer d’autotests 
est un signe, parmi d’autres, du désir croissant de très nombreuses personnes de se 
procurer elles -mêmes ( via Internet ou non) les informations, savoirs, services, produits de 
                                                 
23 Gauthier R et al."
1440086,Personne relationnelle,"La même étude souligne que 73 % d es personnes sondées (tous pays confondus) ont 
davantage confiance envers des professionnels de santé qu’envers toute autre source 
de conseils en matière de santé."
1210523,Personne responsable et autonome,"Dans ce cas, la personne réalise elle -même son suicide en absorbant un produit létal 
qui lui a été préalablement délivré."
940508,Individu ou sujet,"∗∗ ∗∗ Voir l’Avis N° 88  du CCNE Sur les méthodes de détermination de l’âge à des fi ns juridiques 
 29  Il est d'autres lieux hors de la prison qui retienn ent des personnes ayant perdu leur droit d'aller 
et de venir."
1040053,Personne responsable et autonome,"Dans la mesure où le DMP facilite l’accès de chacun aux inform ations relatives à son 
parcours de soin, on peut considérer qu’il est au service d’une  plus grande participation des 
personne s aux décisions médicales."
1431049,Genre/espèce humaine,"Les formalités et démarches concernant les données issues de recherches impliquant la 
personne humaine dépendent du contexte de la recherche."
1240901,Personne à protéger,"Il s’agit, par exemple des déterminants socio -économiques qui jouent un rôle 
majeur dans la santé des personnes qui vivent dans les pays les plus pauvres (notamment l’accès 
à l’eau potable, à des conditions sanitaires décentes , à une nourriture suffisant e, aux médic aments,…) ."
1210620,Sentiment humain,"humain surpasse la  règle et que la simple s ollicitude se révèle parfois comme le dernier moyen de faire face  
ensemble à l'inéluctable ."
1370229,Genre/espèce humaine,"Ces repères sont évidemment fournis pour l’essentiel par les valeurs fondatrices des 
sociétés, telles que la garantie et la protection de la dignité humaine, la liberté et 
l’autonomie, l’égalité et la solidarité, la tolérance et la fraternité, la justice et l’équité."
1200681,Genre/espèce humaine,"Au	   tournant	   du	   20 e	  s i è c l e ,	  d e s 	  b i o l o g i s t e s 	  d e 	  r e n o m , 	  t e l s 	  q u e 	  J u l i a n 	  H u x l e y 	  ( 1 8 8 7-­‐1975),	  Alexis	  Carrel	  (1873-­‐1944)	  et	  Charles	  Richet	  (1850-­‐1935)	  tous	  deux	  Prix	  Nobel	  de	  médecine	  et	  physiologie,	  prônent	  la	  sélection	  de	  «	  races	  humaines	  moins	  défectueuses,	  pour	  donner	  plus	  de	  vigueur	  aux	  muscles,	  plus	  de	  beauté	  aux	  traits,	  plus	  de	  pénétration	  à	  l'intelligence,	  
	  
Avis	  N°	  120	  
44	  plus	  d'acuité	  à	  la	  mémoire,	  plus	  d'énergie	  au	  caractère,	  pour	  faire	  croître	  la	  longévité	  et	  la	  robustesse."
1300357,Individu ou sujet,"Ces données massives pourraient 
prendre une dimension « supraliminaire » pour repre ndre un terme proposé par Gunther Anders 42 , révélant une dimension trop grande pour être appr éhendée par 
l’individu, et questionnant la notion même de conse ntement."
680009,Personne à protéger,"Malgré une incontestable avancée, cette dernière décennie, dans la reconnaissance des
droits des personnes handicapées, de la part des politiques comme de la société civile, il
n’en existe pas moins encore de graves carences qui entraînent trop souvent des situations
dramatiques et engendrent le désespoir."
1210030,Personne relationnelle,"A la suite de la remise du rapport de la Commission de réflexion sur la fin de vie en France 1, 
le Président de la République a posé au Comité consultatif national d’éthique pour les 
sciences de la vie et de la santé trois questions qui touchent à l’expression d e l’autonomie 
des individus au sujet de leur fin de vie  : « Comment et dans quelles conditions recueillir et 
appliquer des directives anticipées émises par une personne en pleine santé ou à l’annonce 
d’une maladie grave, concernant la fin de sa vie ?"
1280481,Personne relationnelle,"Elle permettrait 
à la personne âgée en perte d’indépendance et d’autonomie de ga rder les mêmes repères, 
les mêmes aidants professionnels, tout en passant par exemple du SSIAD à l’HAD, voire 
tout en passant du domicile à l’ « EHPAD hors les murs  »."
1430701,Personne responsable et autonome,"Ainsi , en vertu de l’actuel article 85 de la loi dite informatique e t liberté, issu 
de la loi du 6 octobre 2016, « toute personne peut définir des directives relatives à la 
conservation, à l ’effacement et à la communication de ses données à caractère personnel 
après son décès."
540003,Genre/espèce humaine,"Clonage reproductif : des bouleversements inacceptables de la condition
humaine
3."
1370303,Genre/espèce humaine,"Encart 2  : la notion de «  bien commun  » 
La notion de «  bien commun  » désigne des biens dont l’usage ne peut être exclusif 
(donc une «  propriété  » de certains par opposition à d’autres), en raison de leur importance pour l’ensemble de la collectivité  ; cette notion qui est au centre d es questions 
d’environnement se pose également pour la santé publique et concerne aussi bien 
des objets «  naturels  » (l’air, l’eau, et leur qualité minimale) que des objets «  techniques  » (les soins, médicaments, traitements minimaux, tels que les vaccins nécessaires à une survie minimale des collectifs humains)."
1140083,Individu ou sujet,"Cinq millions de personnes ont des problèmes médicaux,  
psychologiques  ou  sociaux  liés  à  la  consommation  abusive  d'alcool."
1440124,Personne relationnelle,"L’obligation vaccinale met en tension les droits des patients avec la sécurité des actions, la sécurité sanitaire et les obligations spécifiques des professionnels exerçant 
une activité de soin ou d’accompagnement au contact de personnes dont ils ont la 
charge."
580005,Personne responsable et autonome,"Cas général : la personne compétente, autonome
5."
1360374,Personne relationnelle,"Plusieurs interrogations et points de vigilance accompagnent le rôle de la personne 
de confiance  : 
Il faut, pour témoigner de la volonté d’autrui, ne pas se laisser envahir par sa 
propre volonté, et/ou ses propres représentations  car «  je me trompe si je juge des 
autres par moi -même  »66."
940680,Individu ou sujet,Toute personne incarcérée est amenée à en sortir.
530014,Corps humain,"Outre ces collections de cellules embryonnaires humaines ""normales"", il existe aussi de
cellules humaines provenant de sujets atteints de maladies génétiques, ou d'embryons
après interruption de la grossesse à la suite du diagnostic prénatal de telles maladies."
840415,Sentiment humain,"Cette ouverture de la formation des différents acteurs du système de soin à la
dimension humaine et intersubjective de l’activité thérapeutique requiert la création de
nouveaux lieux d’échanges qui favorisent les rencontres interdisciplinaires et mettent à leur
disposition des ressources en documentation."
270066,Corps humain,"On doit, en particulier, insister sur l'importance des recherches déjà en cours sur les gènes
humains (localisation, séquençage, régulation), alors que le programme génome humain
n'en est pas encore à une phase de production."
590400,Poubelle,"III - Groupe ""Prospective personnes âgées""
Commissariat général au Plan
Préparation du VIIIè Plan, 19811985
Président, Mr."
670302,Personne responsable et autonome,"Le judaïsme est attaché tant au respect du corps de la personne après son décès, qu’au
droit de propriété reconnu au défunt sur son propre corps."
1210667,Personne relationnelle,"Une nouvelle étape s’impose afin de garantir la prise en compte de l’avis des personnes 
qui sont en fin de vie."
520023,Corps humain,"L'existence de collections de tissus et organes embryonnaires humains risque de modifier
l'esprit des programmes de recherches."
1230414,Individu ou sujet,"Le 20 mars 1996, le gouvernement de Grande Bretagne annonçait officiellement l’existence de cas 
hautement probables de transmission de la maladie, mortelle, à des personnes qui avaient consommé de 
la viande bovine."
